,xUTM,yUTM,Prob
691,483500,864000,5.977739168627263e-08
692,484000,864000,2.5601170122313443e-09
693,468000,864500,7.681837406216786e-08
694,468500,864500,1.0678841735932916e-06
695,469000,864500,1.0550918266447341e-05
696,469500,864500,7.128715078164815e-05
697,470000,864500,0.0003164740749321859
698,470500,864500,0.0009020835783713063
699,471000,864500,0.0016568425989318568
700,471500,864500,0.0020894941008608634
701,472000,864500,0.002228308522681317
702,472500,864500,0.0026214468845565534
703,473000,864500,0.003125249579787316
704,473500,864500,0.003042834807324955
705,474000,864500,0.002462204722933519
706,474500,864500,0.0021288326499862248
707,475000,864500,0.002186589045367427
708,475500,864500,0.002176074935582519
709,476000,864500,0.0018900216129004
710,476500,864500,0.00141596405175449
711,477000,864500,0.0009362935154965478
712,477500,864500,0.000674996181845587
713,478000,864500,0.0007269309903517073
714,478500,864500,0.0009402768607534684
715,479000,864500,0.0010004466928722304
716,479500,864500,0.0008658360990643271
717,480000,864500,0.00077254122976555
718,480500,864500,0.000702679269601482
719,481000,864500,0.0004898364894555207
720,481500,864500,0.00022289391767850783
721,482000,864500,6.323979003500146e-05
722,482500,864500,1.1065736176420671e-05
723,483000,864500,1.1912822441233963e-06
724,483500,864500,7.893040142615275e-08
725,484000,864500,3.2341541972091813e-09
726,468000,865000,2.6753980296893734e-07
727,468500,865000,2.8477424707765835e-06
728,469000,865000,2.1102961675665928e-05
729,469500,865000,0.0001122026037068888
730,470000,865000,0.00042565350198855436
731,470500,865000,0.001117236910292746
732,471000,865000,0.0019846879336345297
733,471500,865000,0.0024533056601508106
734,472000,865000,0.0024496083865073793
735,472500,865000,0.0025569544447579225
736,473000,865000,0.00280899229554772
737,473500,865000,0.002603946895196301
738,474000,865000,0.001971442210591973
739,474500,865000,0.0015722326885338153
740,475000,865000,0.0015531360726919756
741,475500,865000,0.0015365418135257186
742,476000,865000,0.001340233559542195
743,476500,865000,0.000980052579457251
744,477000,865000,0.0005741572167866583
745,477500,865000,0.0003457954038727983
746,478000,865000,0.00040305758991003105
747,478500,865000,0.000631557181803216
748,479000,865000,0.0008095439128874738
749,479500,865000,0.0008860016566645481
750,480000,865000,0.0009557387129907674
751,480500,865000,0.0009164092806400267
752,481000,865000,0.000635359390965303
753,481500,865000,0.00028584154437001267
754,482000,865000,8.040451831105316e-05
